sexo;idade;uf;situacao_funcional;pmt_valor;margem_saldo;conceder
MASCULINO;80;PA;APOSENTADO;411.60;2246.28;0
FEMININO;59;RJ;ATIVO PERMANENTE;1229.02;15264.76;0
FEMININO;38;MS;ATIVO PERMANENTE;1250.04;3126.68;0
FEMININO;80;PE;APOSENTADO;721.14;20262.96;0
MASCULINO;37;RS;ATIVO PERMANENTE;90.14;2867.68;0
FEMININO;52;RJ;ATIVO PERMANENTE;71.97;4386.67;0
FEMININO;80;RS;APOSENTADO;3518.58;9638.48;0
MASCULINO;36;MG;ATIVO PERMANENTE;1713.47;3817.50;0
FEMININO;75;GO;APOSENTADO;9723.39;19903.32;0
FEMININO;55;RJ;APOSENTADO;576.33;4161.24;0
MASCULINO;52;RJ;ATIVO PERMANENTE;2080.86;10145.90;0
MASCULINO;56;SC;NAO INFORMADO;238.00;4169.32;0
MASCULINO;58;RJ;ATIVO PERMANENTE;1862.14;2880.35;0
MASCULINO;40;MS;ATIVO PERMANENTE;1663.06;25537.95;0
MASCULINO;82;SP;APOSENTADO;4386.40;37422.55;0
MASCULINO;45;GO;CELETISTA EMPREGADO;4073.85;5536.26;0
FEMININO;50;RJ;CEDIDO SUS LEI 8270;427.74;2732.34;0
FEMININO;82;PA;APOSENTADO;45.99;1384.39;0
FEMININO;36;DF;CELETISTA EMPREGADO;3887.82;8048.04;0
FEMININO;76;BA;APOSENTADO;946.59;1789.08;0
FEMININO;82;MG;BENEFICIARIO PENSAO;497.32;5033.78;0
FEMININO;84;PA;APOSENTADO;333.10;3423.51;0
FEMININO;45;MG;ATIVO PERMANENTE;546.08;16382.22;0
MASCULINO;71;SP;APOSENTADO;6294.23;10662.21;0
FEMININO;84;PR;APOSENTADO;731.48;4341.00;0
MASCULINO;59;RJ;ATIVO PERMANENTE;86.14;2603.66;0
FEMININO;64;RJ;BENEFICIARIO PENSAO;44.26;1074.20;0
FEMININO;81;CE;APOSENTADO;71.42;3496.56;0
FEMININO;38;SC;ATIVO PERMANENTE;2989.44;38097.75;0
MASCULINO;40;RJ;ATIVO PERMANENTE;255.26;7657.80;0
MASCULINO;84;MS;APOSENTADO;54.00;13227.54;0
FEMININO;78;PA;APOSENTADO;2058.82;4021.60;0
FEMININO;36;DF;ATIVO PERMANENTE;1014.02;3607.20;0
FEMININO;55;RJ;CEDIDO SUS LEI 8270;812.97;4140.00;0
MASCULINO;41;PE;ATIVO PERMANENTE;819.38;4037.75;0
MASCULINO;84;CE;APOSENTADO;191.00;9949.85;0
FEMININO;38;DF;CELETISTA EMPREGADO;1198.16;6632.80;0
FEMININO;36;CE;CELETISTA EMPREGADO;1475.64;2690.53;0
MASCULINO;39;RS;ATIVO PERMANENTE;5573.35;9897.25;0
MASCULINO;41;BA;NOMEADO CARGO COMIS;1009.26;5116.98;0
MASCULINO;81;MG;APOSENTADO;7076.89;61163.40;0
MASCULINO;38;DF;ATIVO PERMANENTE;2210.85;5125.28;0
MASCULINO;79;RN;APOSENTADO;48.17;1203.40;0
FEMININO;56;RJ;BENEFICIARIO PENSAO;36.46;2406.04;0
MASCULINO;45;AL;CELETISTA EMPREGADO;3028.08;7193.00;0
FEMININO;77;RJ;BENEFICIARIO PENSAO;1416.88;2198.22;0
