"sexo","idade","uf","situacao_funcional","tipo_contrato","pmt_valor","margem_saldo","conceder"
MASCULINO,40,BA,ATIVO PERMANENTE,ESTAVEL,2011.71,-1309.80,1
MASCULINO,40,BA,ATIVO PERMANENTE,ESTAVEL,3129.31,1104.00,1
MASCULINO,38,MS,ATIVO PERMANENTE,ESTAVEL,976.12,235.91,1
MASCULINO,38,MS,ATIVO PERMANENTE,ESTAVEL,2960.64,3684.51,1
FEMININO,89,PR,APOSENTADO,ESTAVEL,422.80,12923.68,1
MASCULINO,80,PA,APOSENTADO,ESTAVEL,339.58,-210.60,1
MASCULINO,80,PA,APOSENTADO,ESTAVEL,72.02,2456.88,0
FEMININO,46,MG,ATIVO PERMANENTE,ESTAVEL,12828.90,-4262.40,1
FEMININO,32,RR,CONTRATO TEMPORARIO,NAO ESTAVEL,581.98,0.03,1
FEMININO,32,RR,CONTRATO TEMPORARIO,NAO ESTAVEL,503.98,156.02,1
FEMININO,59,RJ,ATIVO PERMANENTE,ESTAVEL,946.11,10053.26,0
FEMININO,59,RJ,ATIVO PERMANENTE,ESTAVEL,282.91,5211.50,0
MASCULINO,87,CE,APOSENTADO,ESTAVEL,3877.52,13661.80,1
MASCULINO,87,CE,APOSENTADO,ESTAVEL,248.66,3524.51,1
FEMININO,38,MS,ATIVO PERMANENTE,ESTAVEL,1250.04,3126.68,0
FEMININO,54,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,4248.50,-493.86,1
MASCULINO,86,SP,APOSENTADO,ESTAVEL,1358.57,1117.00,1
MASCULINO,57,RJ,CEDIDO SUS LEI 8270,ESTAVEL,2861.64,0.00,1
MASCULINO,92,RJ,APOSENTADO,ESTAVEL,2596.64,10439.92,1
MASCULINO,92,RJ,APOSENTADO,ESTAVEL,2885.13,18297.65,1
FEMININO,94,PA,APOSENTADO,ESTAVEL,4662.24,-4760.38,1
FEMININO,94,PA,APOSENTADO,ESTAVEL,4662.24,3319.84,1
FEMININO,31,RJ,ATIVO PERMANENTE,ESTAVEL,1707.56,-3088.52,1
FEMININO,31,RJ,ATIVO PERMANENTE,ESTAVEL,2279.68,0.21,1
MASCULINO,89,BA,APOSENTADO,ESTAVEL,177.00,18363.72,1
FEMININO,55,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2647.71,-4310.40,1
FEMININO,80,PE,APOSENTADO,ESTAVEL,721.14,20262.96,0
MASCULINO,37,RS,ATIVO PERMANENTE,ESTAVEL,45.07,1361.11,0
MASCULINO,37,RS,ATIVO PERMANENTE,ESTAVEL,45.07,1506.57,0
FEMININO,32,AM,ATIVO PERMANENTE,ESTAVEL,2876.68,-1408.24,1
FEMININO,32,AM,ATIVO PERMANENTE,ESTAVEL,2581.61,-721.74,1
FEMININO,52,RJ,ATIVO PERMANENTE,ESTAVEL,37.15,2192.17,0
FEMININO,52,RJ,ATIVO PERMANENTE,ESTAVEL,34.82,2194.50,0
